Rank,Title,Weeks in Top 10,Views,Runtime,Hours Viewed,Region,Week
4,To Catch a Killer,2,"6,700,000",1:59,"13,300,000",Global,2025-02-23
5,Minions,14,"6,100,000",1:31,"9,300,000",Global,2025-02-23
6,Despicable Me 2,18,"5,900,000",1:38,"9,600,000",Global,2025-02-23
7,Trial by Fire,1,"4,600,000",2:07,"9,700,000",Global,2025-02-23
8,Kinda Pregnant,3,"4,300,000",1:40,"7,100,000",Global,2025-02-23
9,Back in Action,7,"4,100,000",1:54,"7,700,000",Global,2025-02-23
10,Despicable Me,9,"4,000,000",1:35,"6,300,000",Global,2025-02-23
1,La Dolce Villa,3,"19,800,000",1:39,"32,700,000",Global,2025-02-16
2,Kinda Pregnant,3,"13,700,000",1:40,"22,800,000",Global,2025-02-16
3,Aftermath,1,"9,900,000",1:35,"15,600,000",Global,2025-02-16
4,Shrek,12,"7,000,000",1:30,"10,500,000",Global,2025-02-16
5,Shrek 2,5,"6,100,000",1:33,"9,400,000",Global,2025-02-16
6,Back in Action,7,"5,700,000",1:54,"10,800,000",Global,2025-02-16
7,The Witcher: Sirens of the Deep,1,"4,800,000",1:32,"7,300,000",Global,2025-02-16
8,Norbit,1,"3,900,000",1:43,"6,700,000",Global,2025-02-16
9,Mission: Impossible - Dead Reckoning,4,"3,900,000",2:44,"10,600,000",Global,2025-02-16
10,Shrek the Third,2,"3,600,000",1:35,"5,700,000",Global,2025-02-16
1,Kinda Pregnant,3,"25,100,000",1:40,"41,900,000",Global,2025-02-09
2,Back in Action,7,"9,200,000",1:54,"17,400,000",Global,2025-02-09
3,Shrek,12,"7,300,000",1:30,"11,000,000",Global,2025-02-09
4,Shrek 2,5,"5,500,000",1:33,"8,600,000",Global,2025-02-09
5,The Menu,2,"4,400,000",1:47,"7,800,000",Global,2025-02-09
6,Spider-Man: No Way Home,2,"4,200,000",2:28,"10,400,000",Global,2025-02-09
7,Spider-Man: No Way Home (Extended Version),1,"3,000,000",2:37,"7,800,000",Global,2025-02-09
8,The Secret Life of Pets 2,9,"2,900,000",1:26,"4,200,000",Global,2025-02-09
9,Shrek the Third,2,"2,800,000",1:35,"4,400,000",Global,2025-02-09
10,The Sentinel,2,"2,600,000",1:48,"4,700,000",Global,2025-02-09
1,Back in Action,7,"18,400,000",1:54,"35,000,000",Global,2025-02-02
2,The Sentinel,2,"7,900,000",1:48,"14,200,000",Global,2025-02-02
3,Under the Boardwalk,1,"5,800,000",1:27,"8,400,000",Global,2025-02-02
4,The Secret Life of Pets 2,9,"4,700,000",1:26,"6,700,000",Global,2025-02-02
5,The Lovely Bones,1,"3,300,000",2:16,"7,400,000",Global,2025-02-02
6,The Secret Life of Pets,9,"3,200,000",1:27,"4,600,000",Global,2025-02-02
7,The Menu,2,"2,400,000",1:47,"4,200,000",Global,2025-02-02
8,Scream VI,1,"2,200,000",2:03,"4,500,000",Global,2025-02-02
9,Minions: The Rise of Gru,11,"2,200,000",1:28,"3,200,000",Global,2025-02-02
10,Carry-On,8,"2,100,000",2:00,"4,100,000",Global,2025-02-02
1,Back in Action,7,"46,800,000",1:54,"88,900,000",Global,2025-01-26
2,The Secret Life of Pets 2,9,"6,700,000",1:26,"9,600,000",Global,2025-01-26
3,The Secret Life of Pets,9,"4,300,000",1:27,"6,200,000",Global,2025-01-26
4,Father Stu,3,"3,600,000",2:05,"7,400,000",Global,2025-01-26
5,You Gotta Believe,1,"3,300,000",1:44,"5,700,000",Global,2025-01-26
6,To All the Boys I’ve Loved Before,1,"3,100,000",1:40,"5,200,000",Global,2025-01-26
7,Minions: The Rise of Gru,11,"2,900,000",1:28,"4,200,000",Global,2025-01-26
8,Despicable Me 2,18,"2,800,000",1:38,"4,600,000",Global,2025-01-26
9,Carry-On,8,"2,700,000",2:00,"5,300,000",Global,2025-01-26
10,Knight and Day,3,"2,600,000",1:49,"4,700,000",Global,2025-01-26
1,Back in Action,7,"46,800,000",1:54,"88,900,000",Global,2025-01-19
2,The Secret Life of Pets 2,9,"8,900,000",1:26,"12,700,000",Global,2025-01-19
3,The Secret Life of Pets,9,"5,200,000",1:27,"7,600,000",Global,2025-01-19
4,Knight and Day,3,"5,200,000",1:49,"9,500,000",Global,2025-01-19
5,Carry-On,8,"3,600,000",2:00,"7,100,000",Global,2025-01-19
6,Despicable Me 2,18,"3,400,000",1:38,"5,500,000",Global,2025-01-19
7,Ma,3,"3,200,000",1:39,"5,300,000",Global,2025-01-19
8,Sonic the Hedgehog,12,"2,700,000",1:41,"4,500,000",Global,2025-01-19
9,Despicable Me,9,"2,700,000",1:35,"4,200,000",Global,2025-01-19
10,Eye for an Eye,2,"2,400,000",1:42,"4,000,000",Global,2025-01-19
1,The Secret Life of Pets 2,9,"15,000,000",1:26,"21,500,000",Global,2025-01-12
2,Carry-On,8,"7,200,000",2:00,"14,300,000",Global,2025-01-12
3,Ma,3,"7,000,000",1:39,"11,500,000",Global,2025-01-12
4,The Secret Life of Pets,9,"6,200,000",1:27,"9,000,000",Global,2025-01-12
5,Despicable Me 2,18,"4,900,000",1:38,"8,000,000",Global,2025-01-12
6,Wallace & Gromit: Vengeance Most Fowl,1,"4,600,000",1:22,"6,300,000",Global,2025-01-12
7,Despicable Me,9,"4,400,000",1:35,"6,900,000",Global,2025-01-12
8,Eye for an Eye,2,"4,400,000",1:42,"7,400,000",Global,2025-01-12
9,The Six Triple Eight,4,"4,000,000",2:10,"8,700,000",Global,2025-01-12
10,Sonic the Hedgehog,12,"3,600,000",1:41,"6,100,000",Global,2025-01-12
1,Carry-On,8,"17,400,000",2:00,"34,700,000",Global,2025-01-05
2,The Six Triple Eight,4,"10,800,000",2:10,"23,500,000",Global,2025-01-05
3,The Secret Life of Pets 2,9,"5,700,000",1:26,"8,200,000",Global,2025-01-05
4,Dr. Seuss' The Grinch,12,"5,400,000",1:26,"7,700,000",Global,2025-01-05
5,Avicii - I'm Tim,1,"5,200,000",1:37,"8,400,000",Global,2025-01-05
6,Non-Stop,1,"4,200,000",1:47,"7,500,000",Global,2025-01-05
7,Horizon: An American Saga: Chapter 1,1,"4,000,000",3:01,"12,000,000",Global,2025-01-05
8,That Christmas,5,"3,800,000",1:36,"6,100,000",Global,2025-01-05
9,Furiosa: A Mad Max Saga,1,"3,800,000",2:28,"9,300,000",Global,2025-01-05
10,In the Heart of the Sea,1,"3,700,000",2:02,"7,600,000",Global,2025-01-05
